PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	JACOBY, LL								REMEMBERING THE DATA - ANALYZING INTERACTIVE PROCESSES IN READING								JOURNAL OF VERBAL LEARNING AND VERBAL BEHAVIOR				22	5			485	508		10.1016/S0022-5371(83)90301-8				1983	1983																		0022-5371			WOS:A1983RM57400001		
J	JEANNEROD, M								THE REPRESENTING BRAIN - NEURAL CORRELATES OF MOTOR INTENTION AND IMAGERY								BEHAVIORAL AND BRAIN SCIENCES				17	2			187	202		10.1017/S0140525X00034026				JUN 1994	1994																		0140-525X			WOS:A1994NR75400001		
J	JEANNEROD, M								MENTAL-IMAGERY IN THE MOTOR CONTEXT								NEUROPSYCHOLOGIA				33	11			1419	1432		10.1016/0028-3932(95)00073-C				NOV 1995	1995																		0028-3932			WOS:A1995TB19600007	8584178	
J	JOHNSON, MK; RAYE, CL								REALITY MONITORING								PSYCHOLOGICAL REVIEW				88	1			67	85		10.1037/0033-295X.88.1.67				1981	1981																		0033-295X			WOS:A1981LE60400004		
J	JONES, SS; SMITH, LB								THE PLACE OF PERCEPTION IN CHILDRENS CONCEPTS								COGNITIVE DEVELOPMENT				8	2			113	139		10.1016/0885-2014(93)90008-S				APR-JUN 1993	1993																		0885-2014			WOS:A1993LR67500001		
J	KOLERS, PA; ROEDIGER, HL								PROCEDURES OF MIND								JOURNAL OF VERBAL LEARNING AND VERBAL BEHAVIOR				23	4			425	449		10.1016/S0022-5371(84)90282-2				1984	1984																		0022-5371			WOS:A1984TD50300001		
J	KOSSLYN, SM; CAVE, CB; PROVOST, DA; VONGIERKE, SM								SEQUENTIAL PROCESSES IN IMAGE GENERATION								COGNITIVE PSYCHOLOGY				20	3			319	343		10.1016/0010-0285(88)90002-3				JUL 1988	1988																		0010-0285			WOS:A1988N954600002	3208506	
J	KOSSLYN, SM								CAN IMAGERY BE DISTINGUISHED FROM OTHER FORMS OF INTERNAL REPRESENTATION - EVIDENCE FROM STUDIES OF INFORMATION-RETRIEVAL TIMES								MEMORY & COGNITION				4	3			291	297		10.3758/BF03213178				1976	1976																		0090-502X			WOS:A1976BS59600011	21287037	
J	KOSSLYN, SM; THOMPSON, WL; KIM, IJ; ALPERT, NM				Park, Irene/D-1798-2010				TOPOGRAPHICAL REPRESENTATIONS OF MENTAL IMAGES IN PRIMARY VISUAL-CORTEX								NATURE				378	6556			496	498		10.1038/378496a0				NOV 30 1995	1995																		0028-0836			WOS:A1995TH05400072	7477406	
J	KOSSLYN, SM								SEEING AND IMAGINING IN THE CEREBRAL HEMISPHERES - A COMPUTATIONAL APPROACH								PSYCHOLOGICAL REVIEW				94	2			148	175		10.1037/0033-295X.94.2.148				APR 1987	1987																		0033-295X	1939-1471		WOS:A1987G747800002	3575583	
