Source,Target,Type,Appearance
"Mancini, A.","Kalisch, R.",Directed,1
"Mancini, A.","Müller, M.",Directed,1
"Mancini, A.","Tüscher, O.",Directed,1
"Murray, R.","Kalisch, R.",Directed,1
"Murray, R.","Müller, M.",Directed,1
"Murray, R.","Tüscher, O.",Directed,1
"Gerrans, P.","Kalisch, R.",Directed,1
"Gerrans, P.","Müller, M.",Directed,1
"Gerrans, P.","Tüscher, O.",Directed,1
"Brosch, T.","Kalisch, R.",Directed,1
"Brosch, T.","Müller, M.",Directed,1
"Brosch, T.","Tüscher, O.",Directed,1
"Sander, D.","Kalisch, R.",Directed,1
"Sander, D.","Müller, M.",Directed,1
"Sander, D.","Tüscher, O.",Directed,1
"Nederhof, E.","Kalisch, R.",Directed,1
"Nederhof, E.","Müller, M.",Directed,1
"Nederhof, E.","Tüscher, O.",Directed,1
"Quirin, M.","Kalisch, R.",Directed,1
"Quirin, M.","Müller, M.",Directed,1
"Quirin, M.","Tüscher, O.",Directed,1
"Kent, M.","Kalisch, R.",Directed,1
"Kent, M.","Müller, M.",Directed,1
"Kent, M.","Tüscher, O.",Directed,1
"Boksem, M.","Kalisch, R.",Directed,1
"Boksem, M.","Müller, M.",Directed,1
"Boksem, M.","Tüscher, O.",Directed,1
"Tops, M.","Kalisch, R.",Directed,1
"Tops, M.","Müller, M.",Directed,1
"Tops, M.","Tüscher, O.",Directed,1
"Sachser, N.","Kalisch, R.",Directed,1
"Sachser, N.","Müller, M.",Directed,1
"Sachser, N.","Tüscher, O.",Directed,1
"Richter, S.","Kalisch, R.",Directed,1
"Richter, S.","Müller, M.",Directed,1
"Richter, S.","Tüscher, O.",Directed,1
"Schutter, D.","Kalisch, R.",Directed,1
"Schutter, D.","Müller, M.",Directed,1
"Schutter, D.","Tüscher, O.",Directed,1
"Wischnewski, M.","Kalisch, R.",Directed,1
"Wischnewski, M.","Müller, M.",Directed,1
"Wischnewski, M.","Tüscher, O.",Directed,1
"Bekkering, H.","Kalisch, R.",Directed,1
"Bekkering, H.","Müller, M.",Directed,1
"Bekkering, H.","Tüscher, O.",Directed,1
"Shumyatsky, G.","Kalisch, R.",Directed,1
"Shumyatsky, G.","Müller, M.",Directed,1
"Shumyatsky, G.","Tüscher, O.",Directed,1
"Jovanovic, T.","Kalisch, R.",Directed,1
